route,bird,flight,date,start_time,rel_lat,rel_lon,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,wind_speed_10m,wind_direction_10m,wind_gusts_10m,temperature_2m,precipitation,shortwave_radiation,surface_pressure
R3,A_A38,02,2011-05-31,09:13:05,51.7921,-1.17177,33,33,1,0,18.4,310,37.1,9.4,0.0,420.0,1003.9
R3,A_A38,03,2011-05-31,16:27:30,51.7921,-1.1717,13,5,9,0,15.0,297,33.1,14.8,0.0,713.0,1007.8
R3,A_A38,04,2011-06-02,11:38:05,51.79217,-1.17173,65,65,0,0,7.4,29,24.1,18.2,0.0,680.0,1019.9
R3,A_A38,05,2011-06-03,10:15:35,51.79217,-1.17171,23,20,0,3,19.2,50,36.7,16.8,0.0,583.0,1018.6
R3,A_A38,06,2011-06-07,10:29:04,51.79211,-1.17167,95,93,49,0,19.5,205,37.1,13.4,0.0,513.0,989.0
R3,A_A45,01,2011-05-25,09:16:35,51.79216,-1.17176,89,0,64,86,13.7,166,27.7,11.5,0.0,429.0,1010.9
R3,A_A45,02,2011-05-31,09:51:54,51.79213,-1.17178,33,33,1,0,18.4,310,37.1,9.4,0.0,420.0,1003.9
R3,A_A45,03,2011-05-31,16:53:31,51.79269,-1.17179,13,5,9,0,15.0,297,33.1,14.8,0.0,713.0,1007.8
R3,A_A45,04,2011-06-02,11:08:05,51.7921,-1.17171,65,65,0,0,7.4,29,24.1,18.2,0.0,680.0,1019.9
R3,A_A45,05,2011-06-03,10:22:25,51.79205,-1.17135,23,20,0,3,19.2,50,36.7,16.8,0.0,583.0,1018.6
R3,A_A45,06,2011-06-07,10:01:35,51.79219,-1.17177,95,93,49,0,19.5,205,37.1,13.4,0.0,513.0,989.0
R3,A_D06,01,2011-05-25,09:27:06,51.79214,-1.17174,89,0,64,86,13.7,166,27.7,11.5,0.0,429.0,1010.9
R3,A_D06,02,2011-05-31,09:42:35,51.79213,-1.17182,33,33,1,0,18.4,310,37.1,9.4,0.0,420.0,1003.9
R3,A_D06,03,2011-05-31,16:16:05,51.79213,-1.17173,13,5,9,0,15.0,297,33.1,14.8,0.0,713.0,1007.8
R3,A_D06,04,2011-06-02,12:02:35,51.79212,-1.17171,97,96,0,0,10.0,30,25.6,19.1,0.0,640.0,1019.8
R3,A_D06,05,2011-06-03,11:07:16,51.79174,-1.17166,6,5,0,0,17.6,47,43.2,18.7,0.0,717.0,1018.3
R3,A_D06,06,2011-06-08,08:36:24,51.79214,-1.17166,99,99,17,0,22.2,222,41.8,11.2,0.0,197.0,989.1
R3,A_D09,01,2011-05-25,10:08:36,51.79213,-1.17173,96,0,49,95,17.0,175,34.6,13.2,0.0,577.0,1010.2
R3,A_D09,02,2011-05-31,09:19:59,51.79203,-1.17171,33,33,1,0,18.4,310,37.1,9.4,0.0,420.0,1003.9
R3,A_D09,03,2011-05-31,16:34:47,51.79209,-1.17178,13,5,9,0,15.0,297,33.1,14.8,0.0,713.0,1007.8
R3,A_D09,04,2011-06-02,11:32:05,51.79214,-1.17167,65,65,0,0,7.4,29,24.1,18.2,0.0,680.0,1019.9
R3,A_D09,05,2011-06-03,11:11:59,51.79218,-1.17168,6,5,0,0,17.6,47,43.2,18.7,0.0,717.0,1018.3
